readout	region	pairing	metric	value	p
reproducibility	Emc7 (housekeeping)	DN_rep2_vs_ProB_rep1	fold	0.404863	0.9164643105117372
reproducibility	Emc7 (housekeeping)	DN_rep2_vs_ProB_rep2	fold	0.404863	0.9164643105117372
reproducibility	Col1a1 (fibroblast marker)	DN_rep1_vs_ProB_rep1	fold	1.67366	0.11034669834990557
reproducibility	Col1a1 (fibroblast marker)	DN_rep1_vs_ProB_rep2	fold	1.46445	0.2055329739403374
reproducibility	Col1a1 (fibroblast marker)	DN_rep2_vs_ProB_rep1	fold	1.04604	0.520809251046652
reproducibility	Col1a1 (fibroblast marker)	DN_rep2_vs_ProB_rep2	fold	0.627622	0.8569010979451552
reproducibility	Wapl	DN_rep1_vs_ProB_rep1	fold	3.00191	0.00012764932252968395
reproducibility	Wapl	DN_rep1_vs_ProB_rep2	fold	5.25334	2.673517898478809e-12
reproducibility	Wapl	DN_rep2_vs_ProB_rep1	fold	8.06763	4.141259100408765e-25
reproducibility	Wapl	DN_rep2_vs_ProB_rep2	fold	13.321	3.439416722109079e-55
reproducibility	Igk (B-lineage locus)	DN_rep1_vs_ProB_rep1	fold	0.93634	0.6560327657702794
reproducibility	Igk (B-lineage locus)	DN_rep1_vs_ProB_rep2	fold	1.16106	0.22537773826433535
reproducibility	Igk (B-lineage locus)	DN_rep2_vs_ProB_rep1	fold	1.12361	0.28530987942746594
reproducibility	Igk (B-lineage locus)	DN_rep2_vs_ProB_rep2	fold	1.31088	0.0690737448312436
reproducibility	Tcrb upstream (flanking)	DN_rep1_vs_ProB_rep1	fold	0.865811	0.672956752339457
reproducibility	Tcrb upstream (flanking)	DN_rep1_vs_ProB_rep2	fold	1.29872	0.4070182675024436
reproducibility	Tcrb upstream (flanking)	DN_rep2_vs_ProB_rep1	fold	0.432905	0.9018902150699334
reproducibility	Tcrb upstream (flanking)	DN_rep2_vs_ProB_rep2	fold	0	1.0
reproducibility	Cd4 (induced at DP)	DN_rep1_vs_ProB_rep1	fold	0.874645	0.6673845420712388
reproducibility	Cd4 (induced at DP)	DN_rep1_vs_ProB_rep2	fold	0.583097	0.8578860104593444
reproducibility	Cd4 (induced at DP)	DN_rep2_vs_ProB_rep1	fold	0	1.0
reproducibility	Cd4 (induced at DP)	DN_rep2_vs_ProB_rep2	fold	0	1.0
reproducibility	Cd8a (induced at DP)	DN_rep1_vs_ProB_rep1	fold	0.555562	0.9063741945623981
reproducibility	Cd8a (induced at DP)	DN_rep1_vs_ProB_rep2	fold	1.11112	0.4542088129064915
reproducibility	Cd8a (induced at DP)	DN_rep2_vs_ProB_rep1	fold	0.925936	0.6278208508955387
reproducibility	Cd8a (induced at DP)	DN_rep2_vs_ProB_rep2	fold	1.11112	0.4542088129064915
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	ATAC	0.174896	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	RNA+	0.0101865	
