readout	region	pairing	metric	value	p
reproducibility	Emc7 (housekeeping)	DN_rep2_vs_DP_rep2	fold	0.36232	0.9375862211384165
reproducibility	Col1a1 (fibroblast marker)	DN_rep1_vs_DP_rep1	fold	0.688076	0.8115022427860241
reproducibility	Col1a1 (fibroblast marker)	DN_rep1_vs_DP_rep2	fold	1.37615	0.2728076654094151
reproducibility	Col1a1 (fibroblast marker)	DN_rep2_vs_DP_rep1	fold	0.229359	0.9875015032308363
reproducibility	Col1a1 (fibroblast marker)	DN_rep2_vs_DP_rep2	fold	0	1.0
reproducibility	Wapl	DN_rep1_vs_DP_rep1	fold	0.498755	0.9589096240315432
reproducibility	Wapl	DN_rep1_vs_DP_rep2	fold	0.623444	0.9026672282267858
reproducibility	Wapl	DN_rep2_vs_DP_rep1	fold	0.748132	0.8119897026625376
reproducibility	Wapl	DN_rep2_vs_DP_rep2	fold	0	1.0
reproducibility	Igk (B-lineage locus)	DN_rep1_vs_DP_rep1	fold	0.560134	0.9968724109160314
reproducibility	Igk (B-lineage locus)	DN_rep1_vs_DP_rep2	fold	1.02142	0.47718108631651274
reproducibility	Igk (B-lineage locus)	DN_rep2_vs_DP_rep1	fold	1.15322	0.22052515389203345
reproducibility	Igk (B-lineage locus)	DN_rep2_vs_DP_rep2	fold	1.02142	0.47718108631651274
reproducibility	Tcrb upstream (flanking)	DN_rep1_vs_DP_rep1	fold	0.961542	0.6043666229365166
reproducibility	Tcrb upstream (flanking)	DN_rep1_vs_DP_rep2	fold	0.320514	0.9565352101902229
reproducibility	Tcrb upstream (flanking)	DN_rep2_vs_DP_rep1	fold	0.961542	0.6043666229365166
reproducibility	Tcrb upstream (flanking)	DN_rep2_vs_DP_rep2	fold	0.641028	0.8195460458309147
reproducibility	Cd4 (induced at DP)	DN_rep1_vs_DP_rep1	fold	11.681	2.8233115564356466e-30
reproducibility	Cd4 (induced at DP)	DN_rep1_vs_DP_rep2	fold	13.1055	4.9320105789987134e-36
reproducibility	Cd4 (induced at DP)	DN_rep2_vs_DP_rep1	fold	11.3961	3.696109436530133e-29
reproducibility	Cd4 (induced at DP)	DN_rep2_vs_DP_rep2	fold	13.6753	2.0573400915756715e-38
reproducibility	Cd8a (induced at DP)	DN_rep1_vs_DP_rep1	fold	3.80796	8.908089308304973e-08
reproducibility	Cd8a (induced at DP)	DN_rep1_vs_DP_rep2	fold	4.80134	9.709731505077653e-12
reproducibility	Cd8a (induced at DP)	DN_rep2_vs_DP_rep1	fold	3.97352	2.1496538153111296e-08
reproducibility	Cd8a (induced at DP)	DN_rep2_vs_DP_rep2	fold	4.30465	1.1069728499946478e-09
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	ATAC	0.0144317	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	RNA+	0.013762	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	RNA-	0.00470121	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	CTCF	0.261757	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	Cohesin	0.276487	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	H3K27ac	0.428861	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	ATAC	0.0179792	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	RNA+	0.0118846	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	RNA-	0.00385522	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	CTCF	0.321425	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	Cohesin	0.296884	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	H3K27ac	0.347972	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	ATAC	0.0146229	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	RNA+	0.000109103	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	RNA-	0.0001725	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	CTCF	0.236553	
