readout	region	pairing	metric	value	p
reproducibility	Emc7 (housekeeping)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Emc7 (housekeeping)	DN_rep2_vs_S3T3_rep2	fold	0.403228	0.9173011626055574
reproducibility	Col1a1 (fibroblast marker)	DN_rep1_vs_S3T3_rep1	fold	1.37256	0.25189046792852593
reproducibility	Col1a1 (fibroblast marker)	DN_rep1_vs_S3T3_rep2	fold	1.96079	0.0348246529180771
reproducibility	Col1a1 (fibroblast marker)	DN_rep2_vs_S3T3_rep1	fold	1.37256	0.25189046792852593
reproducibility	Col1a1 (fibroblast marker)	DN_rep2_vs_S3T3_rep2	fold	1.56864	0.1429676947721996
reproducibility	Wapl	DN_rep1_vs_S3T3_rep1	fold	0.43732	0.9676830221651895
reproducibility	Wapl	DN_rep1_vs_S3T3_rep2	fold	0.145773	0.9989872674659513
reproducibility	Wapl	DN_rep2_vs_S3T3_rep1	fold	0.43732	0.9676830221651895
reproducibility	Wapl	DN_rep2_vs_S3T3_rep2	fold	0.583093	0.9117460080670805
reproducibility	Igk (B-lineage locus)	DN_rep1_vs_S3T3_rep1	fold	0.332228	0.9997054799536813
reproducibility	Igk (B-lineage locus)	DN_rep1_vs_S3T3_rep2	fold	0.221485	0.9999843858959299
reproducibility	Igk (B-lineage locus)	DN_rep2_vs_S3T3_rep1	fold	0.830569	0.7971976454158226
reproducibility	Igk (B-lineage locus)	DN_rep2_vs_S3T3_rep2	fold	0.553713	0.9854912548354566
reproducibility	Tcrb upstream (flanking)	DN_rep1_vs_S3T3_rep1	fold	0.881062	0.6636712667392727
reproducibility	Tcrb upstream (flanking)	DN_rep1_vs_S3T3_rep2	fold	0.440531	0.8978671524612747
reproducibility	Tcrb upstream (flanking)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Tcrb upstream (flanking)	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	Cd4 (induced at DP)	DN_rep1_vs_S3T3_rep1	fold	1.20121	0.4266435828207051
reproducibility	Cd4 (induced at DP)	DN_rep1_vs_S3T3_rep2	fold	1.80181	0.11972139443764704
reproducibility	Cd4 (induced at DP)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Cd4 (induced at DP)	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	Cd8a (induced at DP)	DN_rep1_vs_S3T3_rep1	fold	0.431968	0.9459087115119968
reproducibility	Cd8a (induced at DP)	DN_rep1_vs_S3T3_rep2	fold	0.863935	0.6804938160032259
reproducibility	Cd8a (induced at DP)	DN_rep2_vs_S3T3_rep1	fold	1.94385	0.04571335863753416
reproducibility	Cd8a (induced at DP)	DN_rep2_vs_S3T3_rep2	fold	2.80779	0.0009646316270638521
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	ATAC	0.0852843	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	RNA+	0.000770162	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	RNA-	0.000504765	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	CTCF	0.283701	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	Cohesin	0.358005	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	H3K27ac	0.271735	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	ATAC	0.0059487	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	RNA+	0.000749457	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	RNA-	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	CTCF	0.412894	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	Cohesin	0.346198	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	H3K27ac	0.234209	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	ATAC	0.0801609	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	RNA+	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	RNA-	0.000491083	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	CTCF	0.248387	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	Cohesin	0.489121	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	H3K27ac	0.181841	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	ATAC	0.0166532	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	RNA+	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	RNA-	0	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	CTCF	0.366417	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	Cohesin	0.406186	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	H3K27ac	0.210744	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	ATAC	0.0348132	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	RNA+	0.0645	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	RNA-	0.0446577	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	CTCF	0.334832	
